project,access,cc,is_constructor,method_fen,class_name,method_name,params_types,file,line_number,coverage_status,full_coverage,not_full_reasons,line_cov_summary,instr_cov_summary,branch_cov_summary,tests,calls
lang3.20,package-private,21,False,"org.apache.commons.lang3.CharSequenceUtils.lastIndexOf(CharSequence,CharSequence,int)",org.apache.commons.lang3.CharSequenceUtils,lastIndexOf,"CharSequence,CharSequence,int",org/apache/commons/lang3/CharSequenceUtils.java,148,ok,False,line_not_full;instr_not_full;branch_not_full,98.3% (58/59),96.8% (209/216),90.0% (54/60),0,0
lang3.20,public,19,False,"org.apache.commons.lang3.builder.EqualsBuilder.reflectionAppend(Object,Object)",org.apache.commons.lang3.builder.EqualsBuilder,reflectionAppend,"Object,Object",org/apache/commons/lang3/builder/EqualsBuilder.java,923,ok,False,line_not_full;instr_not_full;branch_not_full,96.9% (31/32),94.6% (106/112),85.7% (24/28),0,0
lang3.20,public,19,False,"org.apache.commons.lang3.reflect.TypeUtils.getRawType(Type,Type)",org.apache.commons.lang3.reflect.TypeUtils,getRawType,"Type,Type",org/apache/commons/lang3/reflect/TypeUtils.java,711,ok,False,line_not_full;instr_not_full;branch_not_full,47.8% (11/23),59.3% (51/86),55.0% (11/20),0,0
lang3.20,public,18,False,"org.apache.commons.lang3.StringUtils.getLevenshteinDistance(CharSequence,CharSequence,int)",org.apache.commons.lang3.StringUtils,getLevenshteinDistance,"CharSequence,CharSequence,int",org/apache/commons/lang3/StringUtils.java,2381,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,private,18,False,"org.apache.commons.lang3.math.Fraction.greatestCommonDivisor(int,int)",org.apache.commons.lang3.math.Fraction,greatestCommonDivisor,"int,int",org/apache/commons/lang3/math/Fraction.java,348,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),108,0
lang3.20,public,18,False,"org.apache.commons.lang3.text.translate.NumericEntityUnescaper.translate(CharSequence,int,Writer)",org.apache.commons.lang3.text.translate.NumericEntityUnescaper,translate,"CharSequence,int,Writer",org/apache/commons/lang3/text/translate/NumericEntityUnescaper.java,107,ok,False,line_not_full;instr_not_full;branch_not_full,9.1% (3/33),14.9% (22/148),14.7% (5/34),0,0
lang3.20,public,18,False,"org.apache.commons.lang3.time.DateUtils.iterator(Calendar,int)",org.apache.commons.lang3.time.DateUtils,iterator,"Calendar,int",org/apache/commons/lang3/time/DateUtils.java,971,ok,False,line_not_full;instr_not_full;branch_not_full,91.3% (42/46),95.2% (158/166),88.5% (23/26),186,16
lang3.20,private,17,False,org.apache.commons.lang3.StringUtils.convertRemainingAccentCharacters(StringBuilder),org.apache.commons.lang3.StringUtils,convertRemainingAccentCharacters,StringBuilder,org/apache/commons/lang3/StringUtils.java,1369,"coverage-error:unclosed token: line 1, column 1114090",False,"status=coverage-error:unclosed token: line 1, column 1114090",% (/),% (/),% (/),,
lang3.20,public,15,False,org.apache.commons.lang3.ObjectUtils.isEmpty(Object),org.apache.commons.lang3.ObjectUtils,isEmpty,Object,org/apache/commons/lang3/ObjectUtils.java,959,ok,False,line_not_full;instr_not_full;branch_not_full,92.3% (12/13),84.6% (44/52),83.3% (15/18),0,0
lang3.20,private,15,False,"org.apache.commons.lang3.reflect.TypeUtils.getTypeArguments(Type,Class<?>,Map<TypeVariable<?>,Type>)",org.apache.commons.lang3.reflect.TypeUtils,getTypeArguments,"Type,Class<?>,Map<TypeVariable<?>,Type>",org/apache/commons/lang3/reflect/TypeUtils.java,884,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,private,15,False,"org.apache.commons.lang3.reflect.TypeUtils.isAssignable(Type,WildcardType,Map<TypeVariable<?>,Type>)",org.apache.commons.lang3.reflect.TypeUtils,isAssignable,"Type,WildcardType,Map<TypeVariable<?>,Type>",org/apache/commons/lang3/reflect/TypeUtils.java,1186,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,private,15,False,"org.apache.commons.lang3.time.FastDateParser.simpleQuote(StringBuilder,String)",org.apache.commons.lang3.time.FastDateParser,simpleQuote,"StringBuilder,String",org/apache/commons/lang3/time/FastDateParser.java,762,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,private,15,False,"org.apache.commons.lang3.time.FastDatePrinter.appendFullDigits(Appendable,int,int)",org.apache.commons.lang3.time.FastDatePrinter,appendFullDigits,"Appendable,int,int",org/apache/commons/lang3/time/FastDatePrinter.java,927,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),0,0
lang3.20,private,14,False,org.apache.commons.lang3.LocaleUtils.parseLocale(String),org.apache.commons.lang3.LocaleUtils,parseLocale,String,org/apache/commons/lang3/LocaleUtils.java,330,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),35,0
lang3.20,public,14,False,org.apache.commons.lang3.StringUtils.indexOfDifference(CharSequence[]),org.apache.commons.lang3.StringUtils,indexOfDifference,CharSequence[],org/apache/commons/lang3/StringUtils.java,2942,ok,False,line_not_full;instr_not_full;branch_not_full,97.5% (39/40),97.4% (149/153),90.5% (38/42),0,0
lang3.20,private,14,False,"org.apache.commons.lang3.StringUtils.matches(CharSequence,CharSequence)",org.apache.commons.lang3.StringUtils,matches,"CharSequence,CharSequence",org/apache/commons/lang3/StringUtils.java,5251,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),0,0
